Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56143578,Apples Never Fall,Liane Moriarty,"Moriarty, Liane",,"=""1250220254""","=""9781250220257""",5,3.75,Henry Holt and Co.,Hardcover,467,2021,2021,2024/01/06,2023/12/26,,,read,,,,1,0
53459822,World Wide Waste -  How digital is killing our planet—And what we can do about it,Gerry McGovern,"McGovern, Gerry",,"=""1916444636""","=""9781916444638""",0,4.46,Silver Beach Publishing,Kindle Edition,184,2020,,2023/12/26,2023/12/22,,,read,,,,1,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",0,4.25,William Morrow Paperbacks,Mass Market Paperback,491,2006,1990,2023/12/22,2023/11/24,,,read,,,,1,0
33267485,From the Wreck,Jane Rawson,"Rawson, Jane",,"=""0995359458""","=""9780995359451""",0,3.53,Transit Lounge,Paperback,267,2017,2017,,2023/12/22,,,read,,,,1,0
18505792,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""0062255665""","=""9780062255662""",0,4.01,William Morrow,Paperback,195,2014,2013,,2023/11/24,,,read,,,,1,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.23,Crown Publishers,Hardcover,480,2011,2011,2023/11/24,2023/10/23,,,read,,,,1,0
138505710,Doppelganger: A Trip into the Mirror World,Naomi Klein,"Klein, Naomi",,"=""0374610320""","=""9780374610326""",5,4.20,"Farrar, Straus and Giroux",Hardcover,416,2023,2023,2023/11/24,2023/10/23,,,read,,,,1,0
50033,Dandelion Wine,Ray Bradbury,"Bradbury, Ray",,"=""0671037706""","=""9780671037703""",4,4.09,Earthlight (UK) ,Paperback,239,2000,1957,2023/10/23,2023/09/17,,,read,,,,1,0
149059,A Fall of Moondust,Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",0,3.89,Gollancz,Paperback,224,2002,1961,,2023/10/23,,,read,,,,1,0
22544764,Uprooted,Naomi Novik,"Novik, Naomi",,"=""0804179034""","=""9780804179034""",0,4.02,Del Rey,Hardcover,438,2015,2015,2023/09/17,2023/08/10,,,read,,,,1,0
17906372,Ghost Moth,Michèle Forbes,"Forbes, Michèle",,"=""0143189395""","=""9780143189398""",0,3.31,Penguin Canada,Paperback,240,2013,2013,,2023/09/17,,,read,,,,1,0
60012296,Poster Girl,Veronica Roth,"Roth, Veronica",,"=""0358164095""","=""9780358164098""",0,3.65,William Morrow,Hardcover,288,2022,2022,,2023/08/11,to-read,to-read (#20),to-read,,,,0,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",0,4.19,Grand Central Publishing,Paperback,345,2000,1993,,2021/02/19,,,read,,,,1,0
34311452,"Year One (Chronicles of The One, #1)",Nora Roberts,"Roberts, Nora",,"=""1250122953""","=""9781250122957""",0,4.06,St. Martin's Press,Hardcover,419,2017,2017,,2023/08/10,,,read,,,,1,0
76778,The Martian Chronicles,Ray Bradbury,"Bradbury, Ray",Michael Whelan,"=""0553278223""","=""9780553278224""",0,4.16,Bantam/Spectra,Mass Market Paperback,182,1984,1950,,2023/08/10,,,read,,,,1,0
58065033,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",0,4.28,Doubleday Books,Hardcover,390,2022,2022,,2023/08/10,,,read,,,,1,0
51704136,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0143135163""","=""9780143135166""",5,4.07,Penguin Books,Paperback,368,2020,2017,2021/04/23,2020/06/14,,,read,,,,1,0
40718380,The Parisian,Isabella Hammad,"Hammad, Isabella",,"=""1473547679""","=""9781473547674""",0,3.63,Vintage Digital,ebook,710,2019,2019,,2023/04/29,currently-reading,currently-reading (#1),currently-reading,,,,1,0
41087290,The Porpoise,Mark Haddon,"Haddon, Mark",,"=""1784742821""","=""9781784742829""",0,3.36,Chatto & Windus,Hardcover,336,2019,2019,2023/04/29,2023/03/28,,,read,,,,1,0
32197111,The Ship,Antonia Honeywell,"Honeywell, Antonia",,"=""0316469858""","=""9780316469852""",0,2.99,Orbit,Hardcover,336,2017,2015,,2023/03/28,,,read,,,,1,0
49954339,Maker's Curse (Millennium's Rule #4),Trudi Canavan,"Canavan, Trudi",,"=""0356510751""","=""9780356510750""",0,4.06,Orbit,Kindle Edition,560,2020,2020,,2023/03/28,,,read,,,,1,0
56089437,Mrs England,Stacey Halls,"Halls, Stacey",,"=""1838772863""","=""9781838772864""",0,3.90,Bonnier Zaffre,Hardcover,424,2021,2021,,2023/03/28,,,read,,,,1,0
45308037,The Foundling,Stacey Halls,"Halls, Stacey",,"=""1488055327""","=""9781488055324""",0,3.98,MIRA,Kindle Edition,288,2020,2020,,2023/03/28,,,read,,,,1,0
59808550,"The House of Fortune (The Miniaturist, #2)",Jessie Burton,"Burton, Jessie",,"=""1635579740""","=""9781635579741""",0,3.84,Bloomsbury Publishing,Hardcover,304,2022,2022,2023/03/28,2023/01/13,,,read,,,,1,0
27362503,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""1668021048""","=""9781668021040""",0,4.08,Atria Books,Kindle Edition,386,2023,2016,,2023/01/21,to-read,to-read (#19),to-read,,,,0,0
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""006287067X""","=""9780062870674""",0,4.32,Harper,Hardcover,272,2018,2018,,2023/01/13,,,read,,,,1,0
51764686,No One Is Too Small to Make a Difference,Greta Thunberg,"Thunberg, Greta",,"=""014313356X""","=""9780143133568""",5,3.85,Penguin Books,Paperback,112,2019,2019,2023/01/13,2021/02/19,,,read,,,,1,0
78433,The Blind Assassin,Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",4,3.96,Virago Press Ltd,Paperback,637,2001,2000,2023/01/13,2022/03/17,,,read,,,,1,0
