Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18619684,The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,"=""1939126010""","=""9781939126016""",4,4.00,Zola Books,ebook,537,2013,2003,,2020/05/16,,,read,,,,1,0
234225,Dune (Dune #1),Frank Herbert,"Herbert, Frank",,"=""0340839937""","=""9780340839935""",0,4.29,Hodder,Paperback,604,2006,1965,,2020/05/03,,,read,,,,1,0
21840310,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""0857522310""","=""9780857522313""",5,3.96,Doubleday,Hardcover,316,2015,2015,,2020/04/16,,,read,,,,1,0
26883528,Hot Milk,Deborah Levy,"Levy, Deborah",,"=""1620406691""","=""9781620406694""",0,3.48,Bloomsbury USA,Hardcover,218,2016,2016,,2020/04/16,to-read,to-read (#1),to-read,,,,0,0
43107933,"Big Sky (Jackson Brodie, #5)",Kate Atkinson,"Atkinson, Kate",,"=""""","=""""",4,3.92,Transworld Digital,Kindle Edition,352,2019,2019,,2020/04/11,,,read,,,,1,0
4667024,The Help,Kathryn Stockett,"Stockett, Kathryn",,"=""0399155341""","=""9780399155345""",5,4.47,G.P. Putnam's Sons,Hardcover,451,2009,2009,,2020/04/11,,,read,,,,1,0
39964740,The Binding,Bridget Collins,"Collins, Bridget",,"=""0008272115""","=""9780008272111""",5,3.85,The Borough Press,Hardcover,437,2019,2019,2020/04/12,2020/04/11,,,read,,,,1,0
39835415,The Familiars,Stacey Halls,"Halls, Stacey",,"=""""","=""""",5,3.87,Mira Books,Hardcover,420,2019,2019,,2020/04/10,,,read,,,,1,0
18498569,"The Miniaturist (The Miniaturist, #1)",Jessie Burton,"Burton, Jessie",,"=""0062306812""","=""9780062306814""",5,3.62,Ecco Press,Hardcover,416,2014,2014,,2020/04/10,,,read,,,,1,0
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",5,4.03,RANDOM HOUSE TRADE,Hardcover,399,1996,1995,,2020/04/10,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2020/04/10,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",5,3.93,Scribner,Paperback,180,1925,1925,,2020/04/10,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1949,,2020/04/10,,,read,,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",5,4.39,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2020/04/10,,,read,,,,1,0
